पतलून,trousers 
स्पंज,केक sponge cake
स्पंज,पुडिंग sponge pudding 
आवश्यकता,से अधिक मदद करना spoonfeed 
चम्मच,से खिलाना spoonfeed 
चम्मच,spoon 
स्पोर्ट्स,कार sports car 
खेल-प्रसारण,प्रस्तुतकर्ता sportscaster 
क्रीड़ा,प्रतियोगिता दिवस sports day 
खिलाड़ी,के योग्य sportsmanlike 
खेल,भवना sportsmanship 
खेल,की पोशाक sportswear 
घूमने,वाली तेज़ रोशनी spotlight 
पिचकारी,spray gun 
छिड़का,जाने वाला spray-on 
स्प्रैडशीट,spreadsheet
छलाँग,मारने का तख्ता springboard 
जवान,spring chicken 
पूरी,तरह से साफ्ॅअ-सफ़ाई करना spring-clean 
पूरी,तरह से साफ़-सफ़ाई spring-cleaning 
पत्तागोभी,spring greens 
वसन्त,ऋतु spring 
स्प्रिंगदार,spring-loaded 
स्प्रिंग,रोल spring roll 
वृहत्,ज्वार-भाटा spring tide 
कम,दूरी की तेज़ दौड़ sprint 
बहुत,तेज़ी से दौड़ना sprint 
गुप्तचर,spy 
जासूसी,करना sleuth 
पुलिस,की गाड़ी squad car 
दल,squad 
दस्ता,squad 
स्क्वॉड्रन,लीडर squadron leader 
स्क्वेयर,नृत्य square dance 
दोहरी,गाँठ square knot 
शर्बत,squash 
मिचली,squeamishness 
ऐंठना,squeeze 
स्थिरता,stability 
नर,हिरण stag 
बग्घी,stagecoach 
नाट्य-निर्देश,stage direction 
रंगमंच,का दाहिना हिस्सा stage right 
स्वगत,भाषण stage whisper 
लड़खड़ा,कर चलना stagger 
नियमित,पड़ाव staging post 
रुक,जाना stagnate 
विवाहपूर्व,पुरुष-गोष्ठी रात्रि stag night 
अभिरंजित,काँच stained glass 
सीढ़ी,staircase 
सीढ़ी,stairway 
सीढ़ी-कूपक,stairwell 
गुप्त,निगरानी stake-out 
बहाना,stalking horse
दुकानदार,stallholder 
पुंकेसर,stamen 
हकलाना,stammer 
टिकट-संग्रहण,stamp-collecting 
टिकट-सम्ग्रहकर्ता,stamp-collector 
अड्डा,stamping-ground 
स्टैंप,पैड stamp-pad 
रूखा,standoffish 
दृष्टिकोण,standpoint 
स्टैपलर,stapler 
एकटक,देखना stare 
तारों,का प्रकाश starlight 
चौंका,देना startle 
मुख्य,कलाकार star turn 
भूखों,मरना starve 
भूखा,होना starve 
शासन,कला statecraft 
राज्यत्व,statehood 
राजनीति,विशारद statesman 
राजनीतिज्ञोचित,statesmanlike 
शासन,कला statesmanship 
राजनीति,विशारद stateswoman 
स्टेशन,मास्टर station agent 
आँकड़ा,statistic 
सांख्यिकी,statistics 
संविधि,statute law 
संवैधानिक,बलात्कार statutory rape 
घर-घुसना,stay-at-home 
रुकना,stay 
हड़ताल,पर होना stay out 
बाहर,रहना stay out 
जागता,रहना stay up 
दृढ़तापूर्वक,steadfastly 
निष्ठा,steadfastness 
स्थिर,करना steady 
धीर-गंभीर,steady 
संतुलित,steady 
एक-सा,steady 
भाप,वाली इस्तरी steam iron 
स्टीमरोलर,steamroller 
वाष्पचालित,पोत steamship 
वाष्पचालित,खुदाई-मशीन steam shovel 
स्टील,वूल steel wool 
लंबी,घुड़दौड़ steeplechase 
घुड़दौड़,प्रतियोगिता का घोड़ा steeplechaser 
मीनार,steeple 
मीनार,की मरम्मत करने वाला steeplejack 
रोकना,stem 
स्तंभयुक्त,काँच के बर्तन stemware 
आशुलिपिक,stenographer 
सीढ़ी,stepladder 
सौतेली,बहन stepsister 
स्टीरियो,stereo 
त्रिविमदर्शी,stereoscopic 
स्टीरियोफ़ोनिक,स्य्स्टम stereophonic system 
घिसा-पिटा,stereotyped 
बँधा-बँधाया,stereotypical 
रूढ़िबद्धता,stereotyping 
शुद्ध,चांदी sterling silver 
कठोर,stern 
दकियानूसी,stick-in-the-mud 
स्टिकलबैक,stickleback
टाई,की पिन stickpin 
मृत-प्रसव,stillbirth 
मृतजात,stillborn 
तब,भी still 
प्रेरना,stimulus 
कंजूस,stingy 
बदबूदार,बम stink bomb 
दुर्गंध,आना stink 
गरम,तेल में तेज़ी से भून कर बना व्यंजन stir-fry 
लकड़ी,की बाड़ stockade 
शेयर,दलाल stockbroker 
शेयर,दलाली stockbroking 
बिक्री,हेतु रखी कार stock-car 
प्रतियोगिता,के लिए तैयार की गई कार stock-car 
स्टॉक-क्यूब,stock-cube 
स्टॉक,एक्स्चेंज stock exchange 
अंशधारी,stockholder 
स्टॉकधारी,stockholder 
क्रिसमस,पर मोजे में दिया गया उपहार stocking-filler 
लंबा,मोजा stocking 
पशुपाल,stockman 
भविष्य,के लिए संचित भंडार stockpile 
बिना,हिले-डुले stock-still 
पेट,दर्द stomach ache 
पाषाण,युग the Stone Age 
एकदम,ठण्डा stone-cold 
एकदम,अमत्त stone-cold sober 
पूरी,तरह से विनष्ट stone-dead 
वज्र,बधिर stone-deaf 
पत्थर,की चक्की में पिसा stone-ground 
राजमिस्त्री,stonemason 
संगतराश,stonemason 
पत्थर,के बर्तन stoneware 
धुलने,से फीका पड़ा stonewashed 
पत्थर,की चिनाई stonework 
रोधनी,stopcock 
रुकाव,stoppage 
स्टॉपवॉच,stopwatch 
ज्ञान,का भंडार storehouse
मालगोदाम,storehouse 
दुकानदार,storekeeper 
भण्डार,घर storeroom 
चंदनेश्वर,stork
तूफ़ान,का बादल storm cloud 
तूफ़ान,में फँसा storm-tossed 
स्टर्म,ऐब्टिलंग Sturm arbeiteilung 
झूठ,tarradiddle 
वृत्तांत,story 
अहानी,सुनाने वाला storyteller 
कहानी,कहने की कला storytelling 
बहादुर,stout-hearted 
दृढ़ता,stoutness 
छिप,कर यात्रा करने वाला stowaway 
तुरंत,straightaway 
सीधी,तरह से straightforwardly 
मुख्य,हास्यकार का सहायक straight man 
तुरंत,straight off 
जलडमरूमध्य,strait
जकड़जामा,straitjacket 
परदेसी,stranger 
अजनबी,stranger 
सामरिक,strategic 
कूटनीतिक,strategic 
हिसालू,strawberry 
स्ट्रॉबेरी,strawberry 
जन-सर्वेक्षण,straw vote 
तिनके,के रंग का straw-coloured 
जन-सर्वेक्षण,straw poll 
चेतना,प्रवाह stream of consciousness 
ट्रामकार,streetcar 
प्रचलित,शैली street credibility 
प्रचलित,शैली street cred 
सड़क,street 
अपना,बचाव करने में सक्षम street smart 
वेश्या,streetwalker 
अपना,बचाव करने में सक्षम streetwise 
मजबूत,करना strengthen
मजबूत,होना strengthen 
महत्व,देना stress
बलाघात,चिह्न stress mark 
स्ट्रेचर,वाहक stretcher-bearer 
खिंचाव,चिह्न stretch marks 
ईमानदारी,से कहा जाए तो strictly speaking 
लंबपाद,जलकीट water strider
हड़ताल-भंजन,strikebreaking 
तारदार,वाद्य stringed instrument 
व्यंग्य-चित्र,पट्टिका strip cartoon 
ट्यूब,लाइट strip light 
ट्यूब,प्रकाश strip lighting 
बच्चा-गाड़ी,stroller 
हिंसात्मक,strong-arm 
तिजोरी,strongbox 
दृढ़निश्चयी,strong-minded 
संरचनात्मक,दृष्टि से structurally 
म्यूज़,Muse
गच,पलस्तर stucco 
घमण्डी,bigheaded 
स्टूडियो,अपार्टमेंट studio appartment 
स्टूडियो,फ़्लैट studio flat 
बादा,stumbling-block 
बेहोश,कर देने वाली बंदूक stun gun 
विलक्षण,stupendous 
छोटा,अफ्ॅअसर subaltern 
अधोजलीय,sub-aqua 
उपपरमाणवीय,subatomic 
अवचेतन,रूप से subconsciously 
उपमहाद्वीप,subcontinent 
उप-ठेका,देना subcontract 
अधस्त्वचीय,subcutaneous 
उपविभाग,subdivision 
प्रविभाजन,subdivision 
दबा-दबा,subdued 
बुझा,हुआ subdued 
उपसंपादक,sub-editor 
उपशीर्षक,subheading 
अवमानवीय,subhuman 
पनडुब्बी,sub 
न्यान्याधीन,sub judice 
विजय,subjugation  
पराधीनता,subjugation  
सबलैफ़्टिनेंट,sub-lieutenant 
अत्यधिक,sublimely 
ऊनप्रभावी,subliminal 
सबमरीन,submarine 
पनडुब्बी,कर्मचारी submariner 
वैज,wedge
जलमग्न,submerged 
निमज्जन,submersion 
आत्मसमर्पण,submission 
दब्बू,submissive 
विनम्रतापूर्वक,submissively 
दब्बूपन,submissiveness 
गौण,उपवाक्य subordinate clause 
मातहत,subordinate 
अधीन,subordinate 
पराधीनता,subordination 
उपकथानक,sub-plot 
सम्मन,subpoena 
अग्रिम,बुकिंग वाली संगीत-गोष्ठी subscription concert 
बाद,का subsequent 
के,बाद subsequent to 
सहायता,subservience 
अनुसेवा,subservience 
सहायक,subsidiary 
जीवन-निर्वाह,स्तर् subsistence level 
अवमानक,substandard 
उपकेंद्र,substation 
स्थानापन्न,खिलाड़ी substitute 
स्थानापन्न,substitute
अधःस्तर,substratum 
नींव,substructure 
पूर्ण,योग subtotal 
घटाना,subtract 
व्यवकलन,subtraction 
उबाऊ,suburban 
उपनगरीय,suburban 
उपनगर,suburb 
एक,के बाद एक आने वाला successive 
लगातार,successive 
अमुक,such-and-such 
ऐसी,ही suchlike 
दूध,पिलाना suck 
चापलूसी,करना suck up 
अचानक,suddenly
सहना,suffer 
दुःख,suffering 
यथेष्ट,sufficient 
काफ़ी,sufficiently 
मताधिकार,suffrage 
चीनी,पगा sugar-coated 
सल्फ़्यूरिक,अम्ल sulphuric acid 
सल्फ़र,sulphur 
छायावास,summer-house 
ग्रीष्मकालीन,स्कूल summer school 
ग्रीष्मकालीन,अतिरिक्त घंटा summer time 
ग्रीष्म,ऋतु summertime 
अंतिम,अभिवचन summing-up 
सम्मन,देना summon 
जगा,देना summon up 
समृद्धि,sumptuousness 
धूप,से तप्त sun-baked 
धूप,से सिंका sun-baked 
धूप-स्नान,करना sunbathe 
झिलमिली,sun-blind 
धूप-अवरोधक,sunblock
धूप-दाह,से पीड़ित sunburned 
फलमिश्रित,आइसक्रीम ice-cream sundae 
धूप,की झुलसन sunburn 
फलमिश्रित,आइसक्रीम sundae 
रविवारीय,विद्यालय Sunday school 
संध्याकालीन,मदिरापान sundowner 
सूर्यास्त,sundown 
धूप-आच्छादित,sun-drenched 
विभिन्न,sundry 
सूर्यमुखी,sunflower
सूर्य,देवता sun-god 
धूप,की टोपी sun-hat 
धूपदार,कमरा sun lounge 
उजला,sunny 
खुशमिजाज़,sunny 
धूपदार,sunny 
नवोदित,विकासशील उद्योग sunrise industry 
कार,की छत का खुल सकने वाला हिस्सा sunroof 
धूप-अवरोधक,sunscreen 
सूर्य-कलंक,sunspot 
सूर्योदय,sun-up 
प्रचुरता,superabundance 
प्रचुर,superabundant 
सेवा-निवृत्ति,superannuation 
अतिभरक,supercharger 
व्यंग्यात्मक,ढंग से snidely 
नकचढ़ापन,superciliousness 
अतिसंवाहक,superconductor
पराहम्,superego
उथलापन,superficiality 
सतही,तौर पर superficially 
अत्यंत,महीन superfine 
बाहुल्य,superfluity 
अनावश्यक,रूप से superfluously 
अतिमानवीय,superhuman 
अधीक्षण,superintendence 
श्रेष्ठता,superiority 
उच्चता,मनोग्रंथि superiority complex 
अतिमानव,superman 
सुपर,बाज़ार supermarket 
अतिप्राकृतिक,supernatural 
अलौकिक,रूप से supernaturally 
अधिनव,तारा supernova
अतिरिक्त,supernumerary 
जगह,लेना supersede 
विशाल,तेल-वाहक पोत supertanker 
ब्यालू,supper 
लचीलापन,suppleness 
आपूर्ति,एवम् माँग supply and demand
आर्थिक,वृद्धि हेतु कर-घ्टाव संबंधी supply-side
स्थानापन्न,शिक्षक supply teacher 
समर्थक,supporter 
सहायक,supporting 
अधिशुल्क,surcharge 
तरंग-पट्टी,surfboard 
आश्चर्यचकित,surprised 
आश्चर्यजनक,surprising 
आश्चर्यजनक,रूप से surprisingly 
निगरानी,surveillance 
सस्पेंडर,बेल्ट suspender belt 
अनिश्चय,suspense 
झूला-पुल,suspension bridge 
स्थगन,suspension 
शक,suspicion 
शंकास्पद,suspicious 
संपोषणीय,sustainable 
आहार,sustenance 
बच्चे,को लपेटने का कपड़ा swaddling-clothes 
अबाबील,swallow
हंस,swan 
कसम,खा के कहना swear blind 
गाली,swear-word 
शोषित,श्रमिक sweated labour 
श्रम,शोषण sweated labour 
स्वेटर,sweater 
स्वेद,ग्रंथि sweat gland 
शोषण,करने वाली श्रमिकशाला sweatshop 
खट्टा-मीठा,sweet-and-sour 
स्वीट,ब्रेड sweetbread 
मीठी,मकई sweet corn 
मीठा-मीठा,बोलना sweetness and light 
शकरकंद,sweet potato 
तेज़,swift 
द्रुतगामी,swift 
तरण-ताल,swimming-bath 
तैराकी,की पोशाक swimwear 
बटनदार,चाकू switch-blade 
सूजा,हुआ swollen 
खड्ग,नृत्य sword dance
तलवारबाज़ी,swordplay 
तलवारबाज़ी,swordsmanship
शब्दांश,syllable 
प्रतिसाम्य,symmetry 
सहानुभूतिशील,sympathetic 
समर्थन,करना sympathize 
सहानुभूति,रखना sympathise 
सहानुभूति,रखना sympathize 
सिंफ़नी,symphony 
लक्षण,symptom
पट्टी,tab 
खाने,की मेज़ पर उचित सामाजिक व्यवहार table manners 
टेबल,मैट table mat 
नीतिगत,tactical 
झंडा,दिवस tag day 
अंतिम,हिस्सा tail end 
पीछे,की बत्ती tail lamp 
विमान,का अंत्य भाग tailplane 
चक्राकार,गोता tailspin 
अनुवात,tailwind 
धारण,करना take 
श्रमिक,संघ द्वारा तय रियायत take-away 
बना-बनाया,भोजन take-away 
वापस,लेना take back 
का,ध्यान रखना take into account <something> 
लेने,वाला taker 
नकल,take-off
लेना,take on 
बुरा,मानना take umbrage <at something> 
लेना,take 
टैल्कम,पाउडर talcum powder 
कहानी,tale
प्रतिभावान,व्यक्ति talent 
प्रतिभा,talent 
खुल्लमखुल्ला,कहना talk turkey 
इमली,का वृक्ष tamaraind
टंकी,tank 
टैप,नर्तक tap dancer 
टैप,डांस करना tapdance 
टेप,रिकॉर्डर tape deck 
इंची,टेप tape measure
टेप,रिकॉर्डिंग tape recording 
मूसला,जड़ tap root
नल,का पानी tap water 
तारकोल,tar 
सीमा-शुल्क,tariff 
कोलतारी,tarry 
टार्ट,tart 
कृत्यक,बल task force 
काम,task 
स्वादकलिका,taste bud 
भड़कीला,tawdry 
करदेय,राशि taxation 
कर,चोरी tax evasion 
अल्पकरदायी,देश tax haven 
कर-निरीक्षक,tax inspector 
टैक्सी,स्टैण्ड taxi rank 
कर,समाहर्ता taxman 
कर,विवरणी tax return 
टी,बैग tea bag 
चाय-अवकाश,tea break 
चायदान,tea caddy 
चाय,की पेटी tea chest 
अंकीकृत,digitalized 
अंकीकरण,करना digitalise 
स्कूल,में अध्यापक होना teach school 
अंकीकरण,करना digitalize 
चाय,के बर्तन पोछने का छोटा तौलिया tea cloth 
दल,भावना team spirit 
लापरवाह,tearaway 
अश्रु,गैस tear gas 
,करना tear 
चाय,की दुकान tearoom 
चिढ़ाना,tease 
चाय,का सेट tea set 
छेड़खानी,teasing 
चाय,की पहियेदार मेज tea trolly 
बारीकी,technicality
तकनीकी,खराबी technical hitch 
मिस्त्री,technician 
तकनीक,technology
बराबर,करना adjust
उकताहट,के साथ tediously 
उबाऊ,tedious 
टैलीकॉटेज,telecottage 
टेलीफ़ोन,का खंभा telephone pole 
दूरभाष,करना telephone
टेईफ़ोन,बॉक्स telephone box 
एक्स्चेन्ज,exchange
टेलीफ़ोन,एक्स्चेन्ज telephone exchange 
रेत,के रंग का sandy 
टेलीफ़ोन,बूथ telephone kiosk 
रंदा,sanding machine
टेलीफ़ोन,ऑपरेटर telephonist 
दूरचित्र,लेंस telephoto lens 
दूरमुद्रक,teletypewriter 
टेलीविज़न,television
चुगली,करना tell on <somebody> 
स्वभाव,temperament 
ताप,temperature 
तापमान,temperature 
प्रचण्ड,tempestuous 
लालच,temptation 
अनावश्यक,खतरा मोल लेना tempt fate 
ललचाना,tempt 
अनावश्यक,खतरा मोल लेना tempt providence 
किराएदार,tenant 
दस,ten 
दीमक,termite 
सीढ़ी,terrace
चबूतरा,terrace 
गृह-श्रेणी,terrace 
प्रचण्ड,terrible 
आतंकित,करना terrorize 
डराना,terrify 
क्षेत्रीय,territorial 
समुद्री,सीमा territorial waters 
टेरी,terry 
मार्ग-निदर्शक,मामला datastructure case
वाहन-चालन,परीक्षा datastructure drive
प्रमाण,testimony 
परीक्षक,विमानचालक datastructure pilot
स्थिति,को भाँपना datastructure the waters
परखनली,datastructure tube
पाठ्यपुस्तकीय,textbook 
पाठ्य,पुस्तक textbook 
पाठ्य,पुस्तक text 
आभारी,thankful 
थैंक्सगिविंग,दिवस Thanksgiving Day 
थैंक्सगिविंग,Thanksgiving 
अम्लनाशक,antacid 
दाई,accoucheuse 
थियेटर,theater 
नाट्यशाला,theatre 
टैनर,ड्रम tenor drum
टॉम-टॉम,tom-tom
विषय,धुन theme song 
विषय,धुन theme tune 
उत्तरी,ध्रुव North Pole
धर्मशास्त्र,theology 
सैद्धांतिक,theoretical 
उस,स्थान पर at that place 
उसके,कारण thereby 
वहाँ,at that place 
वहाँ,there
छोटा,पर्दा the small screen
दक्षिणी,ध्रुव South Pole
स्पेनिश,मेन the Spanish Main 
दूरभाअ,समय सेवा the speaking clock 
परमात्मा,the supreme being 
सहदर्शी,ग्रंथ the Synoptic Gospels 
अप्रत्याशित,स्थिति the unexpected 
पूरे,समय the whole way 
जादू,टोने के लिये जागृत समय the witching hour 
तिजोरी,safety-deposit 
नरकुल,sedge
तलछट,sediment 
झुरमुट,thicket 
जांघ,thigh 
दुबला,होना thin down 
विचारणा,thinking 
विचारशील,thinking 
तलछटी,sedimentary
नरकुलीय,sedgy 
गंभीरता,sedateness 
लवणता,salinity 
खारापन,brininess 
खारापन,salinity 
लवणमापी,salinometer
साल्मोनेला,रोग् salmonella
शराबघर,saloon 
लवणयुक्त,saline 
काँटेदार,झाड़ी thorn 
काँटा,thorn 
थ्री-पीस,three-piece
परवाह,करने वाला thoughtful 
विचारमग्न,thoughtful 
सहृदयता,thoughtfulness 
हज़ारों,thousands 
हज़ारवाँ,thousandth 
थ्रैश,thrash 
स्लैम,नृत्य करना thrash 
थ्रैश,करना thrash
धागा,thread 
लसलसा,thready 
उत्साही,enterprising 
तीन,टाँग की दौड़ three-legged race 
स्वादिष्ट,scrumptious 
धक्का-मुक्की,करने वाली भीड़ scrum 
थ्री-पीस,three-piece
तेहरा,three-ply 
तीन,परतों वाला three-ply 
तिकड़ी,threesome 
त्रिपथ,three-way 
बढ़ता,thriving 
शासक-पद,throne
सिंहासन,throne 
भीड़,लगाना throng 
भीड़,throng 
इस्तेमाल,के बाद फेंका जाने वाला throwaway 
लापरवाही,से कहा गया throwaway 
आवर्तन,throwback
आवर्तन,throw-back 
आवर्तन,throwback 
अंतःक्षेपण,throw-in 
हार,मान लेना throw in the sponge 
सीधा,thru
लिफ़्ट,माँगना thumb a lift 
अँगूठे,का नाखून thumbnail 
पन्ने,पलटना thumb through <something> 
बिजली,thunderbolt 
बृहस्पतिवार,Thursday 
अभी,तक thus far 
संकेत,मुद्रित करने वाला तार-यंत्र ticker tape 
झिड़की,ticking off 
चलता,रहना tick over 
धीरे-धीरे,चलना tick over 
टिक्-टिक्,tick-tock 
बहाव,tide 
ज्वार-भाटा,tide 
निर्णायक,काल tiebreak 
बंधेज,की रंगाई करना tie-dye 
टाई,tie 
तनना,tighten 
कंजूस,tight-fisted 
संगठित,tight-knit 
बात,करने के लिये अनिच्छुक tight-lipped 
टाइट्स,tights 
टाइल,tile 
इमारती,लकड़ी timber 
इमारती,लकड़ी वाला वृक्ष timber 
समाचार,tidings 
समय,किसी की प्रतीक्षा नहीं करता Time and tide wait for no man 
टाइम,बम time bomb 
टाइम,कैप्सूल time capsule 
अंतराल,time-lag 
समय,सीमा time-limit 
विश्राम,time out 
अवसरवादी,time-server 
समय-फलक,time sheet 
समय,संकेत time signal 
अवधि,time-span 
समय-नियामक,बटन time switch 
टाइम,स्विच time-switch 
चकमक-डिबिया,tinder box 
टिन-टिन,ting-a-ling 
सुरक्षा,टोपी tin hat 
टिनहा,tinny 
डिब्ब,खोलने का औजार tin opener 
धातु,की कलईदार चादर tin plate 
सीटी,के मुँह वाली बाँसुरी tin whistle
थका,tired 
वैगन,टायर wagon tire 
तकलीफ़देह,tiresome 
ऊतक,tissue 
जैसे,को तैसाआ tit for tat 
धर्मार्थ,रखने का खलिहान tithe barn 
अधिकार-पत्र,title-deed 
मुखपृष्ठ,title-page 
टोड,इन द होल toad-in-the-hole
टी,जंक्शन T-junction 
पूरी,तरह से to a T 
पंजा,भर टिकाने की जगह toe-hold 
पैर,का नाखून toenail 
हुकुम,बजाना toe the mark 
हुकुम,बजाना toe the line 
चाशनी,में पगा सेब toffee-apple 
दंभी,toffee-nosed 
भार-तोलन, इकाई weight unit
टॉगल,स्विच toggle switch 
शौच,प्रशिक्षण देना toilet-train 
शौच,प्रशिक्षण toilet-training 
इत्र,toilet water 
रसीद,token 
टोकन,token 
चुंगी-पुल,toll bridge 
चुंगीमुक्त,toll-free
चुंगीमार्ग,toll-road 
कब्र,tomb 
मेरे,विचार से to my way of thinking 
तान,बधिर् tone-deaf 
मज़ाकिया,tongue-in-cheek 
डाँटने,वाला scolding 
मौन,tongue-tied 
टन,ton
घेरे,हुए होना surround 
दंतशूल,toothache 
दँतखोदनी,toothpick 
प्रमुख,अधिकारी top brass 
सर्वोत्तम,top-flight 
टॉप,हैट top hat 
सिरे,पर भारी top-heavy 
ऊँचा,जूड़ा topknot 
सबसे,ऊपर का topmost 
शिखर,top 
सर्वश्रेष्ठ,top-ranking 
अतिगोपनीय,top secret 
ऊपरी,मिट्टी topsoil 
मशाल,torch 
टॉर्च,की रोशनी torchlight 
यातना,torment 
टौर्पीडो,से हमला करना torpedo 
पूरी,तरह से नष्ट कर देना torpedo 
मूसलाधार,वर्षा torrent 
कछुआ,tortoise 
टोरी,Tory 
डूबना-उतराना,toss 
अपूर्वानुमेय,स्थिति toss-up 
अनिश्चितता,toss-up 
हर,तरह से totally 
पूरी,तरह से totally 
यू,एन सी एच एस UNCHS
कुलचिह्न,totem 
जोड़ना,sum up 
कुंजी,पटल देखे बिना टाइप करना touch-type 
ताकत,toughness 
पर्यटक,श्रेणी tourist class 
पर्यटक,पाश tourist trap 
खेल,प्रतियोगिता tournament 
कर्षण,दण्ड tow-bar 
गगनचुंबी,इमारत tower block 
मुनादी,करने वाला town crier 
टाउन,हॉल town hall 
नगर-योजना,town planning 
नौकर्षण,पथ tow-path 
कर्षण,रज्जु tow-rope 
कम-उम्र,प्रेमी toy boy 
पता,लगा trace 
संकेत,trace 
अक्सी,कागज tracing paper 
तय,करना track 
खोजी,कुत्ता tracker dog
दौड़,प्रतियोगिता track event 
लक्ष्यानुसारण,स्टेशन tracking station 
ट्रैक,सूट tracksuit 
ट्रैक्टर,में चालक की सीट tractor 
व्यापार-घाटा,trade balance 
व्यापार,चिह्न trademark 
व्यापारिक,भेद trade secret 
दुकानदार,tradesman 
फेरी,वाला tradesman 
ट्रेड,यूनियन कांग्रेस Trades Union Congress 
व्यापारिक,हवा trade wind 
व्यापारिक,बस्ती trading estate 
व्यापार,चौकी trading post 
व्यावसायिक,मुहर trading stamp 
विक्रेता,marketer
यातायात,नियंत्रण traffic control 
विक्रेता,vender 
निरापद,क्षेत्र safety isle 
यातायात,अवरोध traffic jam 
यातायात,बत्ती traffic light 
बेचने,वाला trafficker 
यातायात,अभिरक्षक traffic warden 
ट्रेलर,ट्रक trailer truck 
प्रशिक्षण,पोत training ship 
सुधार-गृह,training school 
रेलवे,कर्मचारी trainman 
ट्रेन,सेट train set 
विश्वासघाती,traitor 
ट्रामकार,tramcar 
माल,जहाज tramp steamer 
प्रशांत,tranquil 
शांत,tranquil 
लेन-देन,transaction 
अतींद्रिय,चिंतन transcendental meditation 
बदलाव,transformation 
ट्रांसफ़ॉर्मर,transformer 
पूरी,तरह से बदल देना transform 
बदल,देना transform 
शरणार्थी,शिविर transit camp 
परिवर्तन,transition
ढाबा,transport cafe 
कूड़ादान,trash can 
रचना,त्रय trilogy 
पहली,बार first 
पहली,बार for the first time 
के,साथ together with 
पाथलता,traveller's joy
को,मिला कर together with 
पार,करना traverse 
विद्रूपिका,travesty 
जालनौका,trawler 
रत्न-मंजूषा,treasure chest 
देशद्रोही,treasonist 
खज़ाना,treasure trove 
गुप्त,कोश treasure trove 
वित्त,विभाग treasury
ट्री,हाउस tree house 
वृक्षविकास-रेखा,tree line 
फुनगी,treetop 
बरसाती,trench coat 
फ़ैशन,निर्माता trend-setter 
प्रयत्न-त्रुटि,विधि trial and error 
अग्नि-परीक्षा,trial by ordeal 
पूर्व,परीक्षण trial run 
त्रिभुज,triangle 
जनजातीय,tribal 
ट्रिकल,चार्जर trickle charger 
ट्रिगर,trigger 
घोड़ा,trigger 
बात-बात,पर गोली चलाने पर उतारू trigger-happy 
ट्रिलियन,trillion 
सक्रिय,करना actuate 
सक्रिय,करना trip 
ट्रिप,वायर trip wire 
प्रफुल्लित,triumphant 
विजय,triumph 
साधारण,trivial 
उष्णकटिबंध,tropic 
पुराना,बहाना दोहराना trot <something> out 
मुश्किल,दूर करने वाला trouble shooter 
कष्टप्रद,troublesome 
अशांत,क्षेत्र trouble spot 
ट्राउट,trout
उग्र,truculent 
सब्जी,का खेत truck farm
विक्रय,हेतु सब्जी-उत्पादन truck farming 
हथठेला,truck
अस्त्रियोचित,unfeminine 
सच्चा,true 
सच्चा,true-blue 
वास्तविक,true-life 
वास्तविक,उत्तर दिशा true north 
सचमुच,truly 
तुरुप,trump
तुरही,trumpet
ट्रंक,कॉल trunk call
राजमार्ग,highway 
न्यास,कोष trust fund 
सक्रिय,न्यास active trust 
न्यासित,प्रदेश trust territory 
विश्वसनीयता,trustworthiness 
विश्वसनीय,trustworthy 
पहन,कर देखना try-on 
परीक्षण,try-out 
त्सेत्से,मक्खी tzetze fly 
टी,शर्ट T-shirt 
गला,फाड़ कर चिल्लाने वाला वक्ता tub-thumper 
गादुर,tube-nosed bat 
चिल्ला,कर बोलना tub-thumping 
कर्षण,नौका tug
कर्षण,नौका tugboat 
ट्यूलिप,tulip
टंबलर,tumbler
पतझड़,में उखड़ कर हवा से यहाँ-वहाँ होने वाला पौधा tumbleweed 
बेदम,puffy 
ट्यूना,tuna
सुरीलापन,tunefulness 
सुरीले,ढंग से melodiously 
स्वरित्र,tuning-fork 
संकीर्ण,दृष्टिकोण tunnel vision 
सुरंगी,दृष्टि tunnel vision
रत्ती,भर twopence 
टर्बाइन,turbine 
बुकी,turf accountant 
तुर्की,हम्माम Turkish bath 
तुर्की,कॉफ़ी Turkish coffee 
टर्किश,डिलाइट Turkish Delight
स्वादिष्ट,toothsome 
बनाना,turn 
दलबदलू,turncoat 
शुल्क,मार्ग turnpike 
चक्रद्वार,turnstile 
पाँसा,पलट देना turn the tables 
विश्वासघात,traitorousness 
कछुआ,पकड़ना turtle 
अप्रत्याशित,रूप से सफलता पाना turn up trumps 
टर्टल,हैड turtlehead
कछुआ,turtle 
बारह,मास twelvemonth 
बीसवाँ,twentieth
इक्कीसवाँ,जन्मदिन twenty-first 
दो,बार twice 
टहनी,twig 
जोड़ा,बिस्तर twin bed 
दो,इंजन वाला twin-engined 
सुतली,twine 
स्वेटर,का एक-सा सेट twin set 
टिमटिमाना,twinkle 
जर्सी,और कार्डिगन का जोड़ा twin set 
जुड़वाँ,शहर twin town 
पच्चीस,सेंट two bits 
द्विविम,two-dimensional 
दुगुना,twofold 
दोहरा,twofold 
दो,पेंस twopence
जोड़ी,वाला वस्त्र two-piece 
दो,सीटों वाली मोटर two-seater 
जोड़ी,twosome 
धोखा,देना two-time 
दुतरफ़ा,आइना two-way mirror 
टंकित,करना typewrite 
टाइप,फ़ेस typeface 
टंकित,प्रति typescript 
अक्षर-संयोजक,setter 
अक्षर-संयोजन,typesetting 
टाइप,करना type 
